"","Entity","cause","Year","val_rate","val_percent","pop_est","Gini_index","gini_bucket","income_group","gdp_per_capita","unemployment_rate","wealth_share_10","urban_pct","CPI_score","gov_spending_toGDP","housing_CosttoIncome","PM2.5"
"1","China","Schizophrenia",2012,"   366.55",0.366546237770439,1369520822,0.42237166,"High","UM",6300.58217951734,4.58,31.5,51.765,NA,NA,NA,56.602
"2","China","Schizophrenia",2013,"   366.01",0.366008567844497,1379007984,0.397364,"High","UM",7020.3860742288,4.6,30.3,53.013,NA,NA,NA,75.35
"3","China","Schizophrenia",2014,"   365.29",0.36528737702805,1387951920,0.39177653,"High","UM",7636.07434020616,4.63,29.7,54.259,36,NA,NA,52.3424882629108
"4","China","Schizophrenia",2015,"   364.93",0.364931020661423,1396134112,0.38595304,"High","UM",8016.44559489998,4.65,29.4,55.5,37,NA,NA,49.4856697247706
"5","China","Schizophrenia",2016,"   365.07",0.365069505825627,1404052581,0.38480517,"High","UM",8094.39016735149,4.56,29.3,56.736,40,NA,NA,45.6212545454545
"6","China","Schizophrenia",2017,"   365.69",0.365686387313918,1412354694,0.39075777,"High","UM",8817.04560829162,4.47,29.9,57.96,41,NA,NA,44.6155405405405
"7","China","Schizophrenia",2018,"   366.97",0.366966045405768,1419008910,0.38497642,"High","UM",9905.40638304527,4.31,29.4,59.152,39,NA,NA,40.4088606620477
"8","China","Schizophrenia",2019,"   368.59",0.368585053039426,1423520298,0.38168344,"High","UM",10143.8602206165,4.56,29.5,60.308,41,NA,NA,38.5087551440329
"9","China","Schizophrenia",2020,"   373.12",0.373124463183618,1426106040,0.37090832,"High","UM",10408.7195541075,5,29.4,61.428,42,NA,NA,NA
"10","China","Schizophrenia",2021,"   373.13",0.37312750373554,1426437224,0.35743752,"High","UM",12617.5051041181,4.55,28.2,62.512,NA,NA,NA,NA
"11","Mongolia","Schizophrenia",2012,"   220.11",0.220106078802504,2795410,0.33751616,"Moderate","LM",4328.89001905655,3.905,26.2,68.03,NA,36.059739186655,NA,106
"12","Mongolia","Schizophrenia",2014,"   221.80",0.221803096033889,2912984,0.3203779,"Moderate","UM",4126.23975800524,4.798,25.5,68.163,39,32.14356650477,NA,64.21
"13","Mongolia","Schizophrenia",2016,"   221.41",0.221408298045894,3040773,0.32345733,"Moderate","LM",3619.90026383792,7.235,25.6,68.297,38,39.677393012238,NA,79.02
"14","Mongolia","Schizophrenia",2018,"   219.57",0.219567518860253,3167660,0.3274099,"Moderate","LM",4107.64288528468,5.377,25.7,68.445,37,28.405553933083,NA,74
"15","Belarus","Attention-deficit/hyperactivity disorder",2012,"   800.79",0.800790861546215,9463025,0.26526198,"Moderate","UM",6953.21591683101,5.946,21.8,75.697,NA,NA,NA,NA
"16","Belarus","Attention-deficit/hyperactivity disorder",2013,"   790.77",0.790769398526048,9464405,0.26575053,"Moderate","UM",7998.0802045456,5.937,22.1,76.199,NA,NA,NA,NA
"17","Belarus","Attention-deficit/hyperactivity disorder",2014,"   781.44",0.781444314254074,9472660,0.27176666,"Moderate","UM",8341.29014337961,5.902,22.6,76.693,31,NA,NA,NA
"18","Belarus","Attention-deficit/hyperactivity disorder",2015,"   773.00",0.772998371204772,9487235,0.25633225,"Moderate","UM",5967.06856034227,5.881,21.2,77.181,32,NA,NA,NA
"19","Belarus","Attention-deficit/hyperactivity disorder",2016,"   766.46",0.766456399929138,9499018,0.25306615,"Moderate","UM",5039.77560949445,5.844,21.3,77.661,40,NA,NA,NA
"20","Belarus","Attention-deficit/hyperactivity disorder",2017,"   762.71",0.76271070477053,9495737,0.2544457,"Moderate","UM",5785.53397723676,5.648,21.3,78.134,44,NA,NA,NA
"21","Belarus","Attention-deficit/hyperactivity disorder",2018,"   761.02",0.76102229167781,9479978,0.25240526,"Moderate","UM",6360.05310087258,4.763,21.4,78.595,44,NA,NA,NA
"22","Belarus","Attention-deficit/hyperactivity disorder",2019,"   762.07",0.762067991544099,9435364,0.25277847,"Moderate","UM",6837.76832136779,4.165,21.3,79.044,45,NA,NA,NA
"23","Belarus","Attention-deficit/hyperactivity disorder",2020,"   766.42",0.76641579900652,9350896,0.24383356,"Low","UM",6542.8645398436,4.049,20.7,79.483,47,NA,NA,NA
"24","Belarus","Idiopathic developmental intellectual disability",2015,"   319.47",0.319465524309542,9487235,0.25633225,"Moderate","UM",5967.06856034227,5.881,21.2,77.181,32,NA,NA,NA
"25","Belarus","Idiopathic developmental intellectual disability",2016,"   315.46",0.315458812851945,9499018,0.25306615,"Moderate","UM",5039.77560949445,5.844,21.3,77.661,40,NA,NA,NA
"26","Belarus","Idiopathic developmental intellectual disability",2017,"   312.39",0.312393819815185,9495737,0.2544457,"Moderate","UM",5785.53397723676,5.648,21.3,78.134,44,NA,NA,NA
"27","Belarus","Idiopathic developmental intellectual disability",2018,"   309.78",0.309781362209634,9479978,0.25240526,"Moderate","UM",6360.05310087258,4.763,21.4,78.595,44,NA,NA,NA
"28","Belarus","Idiopathic developmental intellectual disability",2019,"   307.75",0.307749100952879,9435364,0.25277847,"Moderate","UM",6837.76832136779,4.165,21.3,79.044,45,NA,NA,NA
"29","Belarus","Idiopathic developmental intellectual disability",2020,"   304.27",0.304273566958774,9350896,0.24383356,"Low","UM",6542.8645398436,4.049,20.7,79.483,47,NA,NA,NA
"30","China","Anxiety disorders",2012," 3,297.80",3.29779937401718,1369520822,0.42237166,"High","UM",6300.58217951734,4.58,31.5,51.765,NA,NA,NA,56.602
"31","China","Anxiety disorders",2013," 3,238.66",3.23866322470252,1379007984,0.397364,"High","UM",7020.3860742288,4.6,30.3,53.013,NA,NA,NA,75.35
"32","China","Anxiety disorders",2014," 3,187.91",3.18791091368218,1387951920,0.39177653,"High","UM",7636.07434020616,4.63,29.7,54.259,36,NA,NA,52.3424882629108
"33","China","Anxiety disorders",2015," 3,160.60",3.16059942899964,1396134112,0.38595304,"High","UM",8016.44559489998,4.65,29.4,55.5,37,NA,NA,49.4856697247706
"34","China","Anxiety disorders",2016," 3,165.71",3.16570710571574,1404052581,0.38480517,"High","UM",8094.39016735149,4.56,29.3,56.736,40,NA,NA,45.6212545454545
"35","China","Anxiety disorders",2017," 3,192.72",3.19271657199577,1412354694,0.39075777,"High","UM",8817.04560829162,4.47,29.9,57.96,41,NA,NA,44.6155405405405
"36","China","Anxiety disorders",2018," 3,231.62",3.23161866422214,1419008910,0.38497642,"High","UM",9905.40638304527,4.31,29.4,59.152,39,NA,NA,40.4088606620477
"37","China","Anxiety disorders",2019," 3,265.66",3.26565535417662,1423520298,0.38168344,"High","UM",10143.8602206165,4.56,29.5,60.308,41,NA,NA,38.5087551440329
"38","China","Anxiety disorders",2020," 3,370.05",3.37005127371196,1426106040,0.37090832,"High","UM",10408.7195541075,5,29.4,61.428,42,NA,NA,NA
"39","China","Anxiety disorders",2021," 3,724.83",3.72483178222306,1426437224,0.35743752,"High","UM",12617.5051041181,4.55,28.2,62.512,NA,NA,NA,NA
"40","Mongolia","Anxiety disorders",2012," 1,829.97",1.82997021777558,2795410,0.33751616,"Moderate","LM",4328.89001905655,3.905,26.2,68.03,NA,36.059739186655,NA,106
"41","Mongolia","Anxiety disorders",2014," 1,809.09",1.80909322844936,2912984,0.3203779,"Moderate","UM",4126.23975800524,4.798,25.5,68.163,39,32.14356650477,NA,64.21
"42","Mongolia","Anxiety disorders",2016," 1,824.82",1.82481749075304,3040773,0.32345733,"Moderate","LM",3619.90026383792,7.235,25.6,68.297,38,39.677393012238,NA,79.02
"43","Mongolia","Anxiety disorders",2018," 1,956.60",1.95659703402457,3167660,0.3274099,"Moderate","LM",4107.64288528468,5.377,25.7,68.445,37,28.405553933083,NA,74
"44","China","Idiopathic developmental intellectual disability",2012,"   296.19",0.296189945284219,1369520822,0.42237166,"High","UM",6300.58217951734,4.58,31.5,51.765,NA,NA,NA,56.602
"45","China","Idiopathic developmental intellectual disability",2013,"   290.64",0.290639605811381,1379007984,0.397364,"High","UM",7020.3860742288,4.6,30.3,53.013,NA,NA,NA,75.35
"46","China","Idiopathic developmental intellectual disability",2014,"   285.57",0.285567751541723,1387951920,0.39177653,"High","UM",7636.07434020616,4.63,29.7,54.259,36,NA,NA,52.3424882629108
"47","China","Depressive disorders",2012," 3,421.81",3.42180995178834,1369520822,0.42237166,"High","UM",6300.58217951734,4.58,31.5,51.765,NA,NA,NA,56.602
"48","China","Depressive disorders",2013," 3,444.71",3.44470904188485,1379007984,0.397364,"High","UM",7020.3860742288,4.6,30.3,53.013,NA,NA,NA,75.35
"49","China","Depressive disorders",2014," 3,469.35",3.46935385681115,1387951920,0.39177653,"High","UM",7636.07434020616,4.63,29.7,54.259,36,NA,NA,52.3424882629108
"50","China","Depressive disorders",2015," 3,497.57",3.49756620138349,1396134112,0.38595304,"High","UM",8016.44559489998,4.65,29.4,55.5,37,NA,NA,49.4856697247706
"51","China","Depressive disorders",2016," 3,521.22",3.52122092336656,1404052581,0.38480517,"High","UM",8094.39016735149,4.56,29.3,56.736,40,NA,NA,45.6212545454545
"52","China","Depressive disorders",2017," 3,533.99",3.53399173710586,1412354694,0.39075777,"High","UM",8817.04560829162,4.47,29.9,57.96,41,NA,NA,44.6155405405405
"53","China","Depressive disorders",2018," 3,548.29",3.54829188903452,1419008910,0.38497642,"High","UM",9905.40638304527,4.31,29.4,59.152,39,NA,NA,40.4088606620477
"54","China","Depressive disorders",2019," 3,572.38",3.57238119107378,1423520298,0.38168344,"High","UM",10143.8602206165,4.56,29.5,60.308,41,NA,NA,38.5087551440329
"55","China","Depressive disorders",2020," 3,692.77",3.69276562613668,1426106040,0.37090832,"High","UM",10408.7195541075,5,29.4,61.428,42,NA,NA,NA
"56","China","Depressive disorders",2021," 3,723.59",3.7235887585652,1426437224,0.35743752,"High","UM",12617.5051041181,4.55,28.2,62.512,NA,NA,NA,NA
"57","China","Attention-deficit/hyperactivity disorder",2012," 1,796.72",1.79671986770299,1369520822,0.42237166,"High","UM",6300.58217951734,4.58,31.5,51.765,NA,NA,NA,56.602
"58","China","Attention-deficit/hyperactivity disorder",2013," 1,763.00",1.76299559092993,1379007984,0.397364,"High","UM",7020.3860742288,4.6,30.3,53.013,NA,NA,NA,75.35
"59","China","Attention-deficit/hyperactivity disorder",2014," 1,733.31",1.73331362747455,1387951920,0.39177653,"High","UM",7636.07434020616,4.63,29.7,54.259,36,NA,NA,52.3424882629108
"60","China","Attention-deficit/hyperactivity disorder",2015," 1,709.80",1.70980238859339,1396134112,0.38595304,"High","UM",8016.44559489998,4.65,29.4,55.5,37,NA,NA,49.4856697247706
"61","China","Attention-deficit/hyperactivity disorder",2016," 1,691.08",1.69108068832017,1404052581,0.38480517,"High","UM",8094.39016735149,4.56,29.3,56.736,40,NA,NA,45.6212545454545
"62","China","Attention-deficit/hyperactivity disorder",2017," 1,677.76",1.67775612381196,1412354694,0.39075777,"High","UM",8817.04560829162,4.47,29.9,57.96,41,NA,NA,44.6155405405405
"63","China","Attention-deficit/hyperactivity disorder",2018," 1,672.64",1.67264050913469,1419008910,0.38497642,"High","UM",9905.40638304527,4.31,29.4,59.152,39,NA,NA,40.4088606620477
"64","China","Attention-deficit/hyperactivity disorder",2019," 1,673.05",1.67304926147608,1423520298,0.38168344,"High","UM",10143.8602206165,4.56,29.5,60.308,41,NA,NA,38.5087551440329
"65","China","Attention-deficit/hyperactivity disorder",2020," 1,678.02",1.67801802319715,1426106040,0.37090832,"High","UM",10408.7195541075,5,29.4,61.428,42,NA,NA,NA
"66","China","Attention-deficit/hyperactivity disorder",2021," 1,718.85",1.71884782140814,1426437224,0.35743752,"High","UM",12617.5051041181,4.55,28.2,62.512,NA,NA,NA,NA
"67","China","Idiopathic developmental intellectual disability",2015,"   281.05",0.281045368217394,1396134112,0.38595304,"High","UM",8016.44559489998,4.65,29.4,55.5,37,NA,NA,49.4856697247706
"68","China","Idiopathic developmental intellectual disability",2016,"   276.14",0.276141845022929,1404052581,0.38480517,"High","UM",8094.39016735149,4.56,29.3,56.736,40,NA,NA,45.6212545454545
"69","China","Idiopathic developmental intellectual disability",2017,"   270.59",0.27059153418702,1412354694,0.39075777,"High","UM",8817.04560829162,4.47,29.9,57.96,41,NA,NA,44.6155405405405
"70","China","Idiopathic developmental intellectual disability",2018,"   265.58",0.265577116783246,1419008910,0.38497642,"High","UM",9905.40638304527,4.31,29.4,59.152,39,NA,NA,40.4088606620477
"71","China","Idiopathic developmental intellectual disability",2019,"   262.05",0.262050135604292,1423520298,0.38168344,"High","UM",10143.8602206165,4.56,29.5,60.308,41,NA,NA,38.5087551440329
"72","China","Idiopathic developmental intellectual disability",2020,"   260.23",0.260227268220367,1426106040,0.37090832,"High","UM",10408.7195541075,5,29.4,61.428,42,NA,NA,NA
"73","China","Idiopathic developmental intellectual disability",2021,"   255.68",0.255677431325725,1426437224,0.35743752,"High","UM",12617.5051041181,4.55,28.2,62.512,NA,NA,NA,NA
"74","Belarus","Other mental disorders",2012," 1,887.72",1.88772286558277,9463025,0.26526198,"Moderate","UM",6953.21591683101,5.946,21.8,75.697,NA,NA,NA,NA
"75","Belarus","Other mental disorders",2013," 1,889.45",1.88945041345057,9464405,0.26575053,"Moderate","UM",7998.0802045456,5.937,22.1,76.199,NA,NA,NA,NA
